|||Sütunlar||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|İstanbul-TR1|
|||||||||||||||
|||||||||||||||
|Kadın ve 18-21 ve İlkokul|2019|1192.0|583.0|264.0|283.0|104.0|624.0|618.0|2529.0|981.0|243.0|2731.0|2040.0|
|Kadın ve 18-21 ve İlköğretim|2019|157.0|60.0|49.0|129.0|20.0|144.0|167.0|473.0|51.0|43.0|238.0|329.0|
|Kadın ve 22-24 ve Bilinmeyen|2019|1516.0|677.0|195.0|185.0|373.0|1240.0|612.0|1222.0|234.0|458.0|384.0|1680.0|
|Kadın ve 22-24 ve Lise Ve Dengi Meslek Okulu|2019|76985.0|72719.0|36502.0|26189.0|23845.0|68676.0|80578.0|59439.0|19779.0|35329.0|32721.0|114093.0|
|Kadın ve 22-24 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|8148.0|2798.0|1186.0|1568.0|747.0|3408.0|4483.0|24451.0|5037.0|1988.0|9440.0|11380.0|
|Kadın ve 22-24 ve Okuma Yazma Bilmeyen|2019|529.0|157.0|59.0|132.0|26.0|276.0|216.0|2992.0|291.0|99.0|1396.0|686.0|
|Kadın ve 22-24 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|57671.0|37592.0|21660.0|14561.0|10513.0|37296.0|50324.0|80823.0|15489.0|23086.0|27982.0|78596.0|
|Kadın ve 22-24 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|1236.0|1484.0|566.0|381.0|350.0|1146.0|1299.0|632.0|236.0|624.0|361.0|2095.0|
|Kadın ve 22-24 ve Yüksekokul Veya Fakülte|2019|74973.0|66755.0|36048.0|25679.0|24273.0|61969.0|77967.0|47438.0|14985.0|32065.0|24006.0|132145.0|
|Kadın ve 22-24 ve İlkokul|2019|2228.0|743.0|366.0|508.0|161.0|1178.0|1265.0|6466.0|1477.0|475.0|3173.0|4245.0|
|Kadın ve 22-24 ve İlköğretim|2019|1965.0|567.0|491.0|739.0|156.0|1154.0|1357.0|5683.0|866.0|414.0|2586.0|2983.0|
|Kadın ve 25-29 ve Bilinmeyen|2019|3875.0|1946.0|412.0|506.0|698.0|2774.0|1469.0|2979.0|926.0|946.0|865.0|5043.0|
|Kadın ve 25-29 ve Doktora|2019|63.0|96.0|47.0|26.0|34.0|58.0|75.0|31.0|29.0|43.0|28.0|261.0|
|Kadın ve 25-29 ve Lise Ve Dengi Meslek Okulu|2019|74972.0|61708.0|29762.0|26177.0|20403.0|68431.0|77171.0|56201.0|13125.0|27120.0|29148.0|118774.0|
|Kadın ve 25-29 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|19103.0|6315.0|3013.0|3273.0|1305.0|8035.0|10937.0|54735.0|9991.0|3753.0|19822.0|27882.0|
|Kadın ve 25-29 ve Okuma Yazma Bilmeyen|2019|3538.0|1193.0|596.0|714.0|340.0|1768.0|1790.0|15564.0|2725.0|609.0|5532.0|4941.0|
|Kadın ve 25-29 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|67245.0|47017.0|28081.0|19102.0|14034.0|49555.0|62857.0|71027.0|13133.0|27033.0|27296.0|97582.0|
|Kadın ve 25-29 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|8285.0|13637.0|3874.0|3274.0|2613.0|7988.0|10961.0|4627.0|2052.0|3606.0|2680.0|23434.0|
|Kadın ve 25-29 ve Yüksekokul Veya Fakülte|2019|134359.0|133575.0|58604.0|47511.0|40554.0|123341.0|148535.0|104447.0|30020.0|53518.0|52669.0|266952.0|
|Kadın ve 25-29 ve İlkokul|2019|6606.0|2328.0|1008.0|1329.0|404.0|3363.0|3606.0|13500.0|2374.0|1200.0|4618.0|12234.0|
|Kadın ve 25-29 ve İlköğretim|2019|45027.0|29634.0|18083.0|12703.0|7663.0|29798.0|42131.0|53065.0|11027.0|18701.0|20931.0|54526.0|
|Kadın ve 30-34 ve Bilinmeyen|2019|4470.0|2259.0|463.0|606.0|772.0|2723.0|1932.0|3071.0|855.0|1011.0|842.0|6444.0|
|Kadın ve 30-34 ve Doktora|2019|835.0|1949.0|623.0|362.0|396.0|808.0|1174.0|356.0|364.0|560.0|373.0|2420.0|
|Kadın ve 30-34 ve Lise Ve Dengi Meslek Okulu|2019|98525.0|79562.0|37318.0|33771.0|25786.0|84323.0|98747.0|57611.0|13232.0|36903.0|30070.0|150046.0|
|Kadın ve 30-34 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|13030.0|3468.0|1860.0|1951.0|863.0|4826.0|7344.0|38341.0|6549.0|1841.0|13765.0|18016.0|
|Kadın ve 30-34 ve Okuma Yazma Bilmeyen|2019|4991.0|1661.0|946.0|904.0|516.0|2331.0|2401.0|21070.0|3643.0|885.0|6888.0|7067.0|
|Kadın ve 30-34 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|32395.0|23817.0|14637.0|10902.0|7715.0|27814.0|32532.0|30247.0|5067.0|12486.0|13946.0|52910.0|
|Kadın ve 30-34 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|9379.0|18667.0|4360.0|4010.0|2906.0|10420.0|13660.0|4968.0|2024.0|4147.0|2866.0|35147.0|
|Kadın ve 30-34 ve Yüksekokul Veya Fakülte|2019|101905.0|101342.0|40152.0|37468.0|26534.0|94182.0|114075.0|57448.0|15351.0|36185.0|29371.0|214445.0|
|Kadın ve 30-34 ve İlkokul|2019|42671.0|27131.0|14490.0|9725.0|5995.0|25630.0|35713.0|48014.0|11890.0|15114.0|17827.0|65513.0|
|Kadın ve 30-34 ve İlköğretim|2019|71549.0|50273.0|33280.0|22303.0|14172.0|54380.0|72529.0|63196.0|13164.0|30246.0|24667.0|90283.0|
|Kadın ve 35-39 ve Bilinmeyen|2019|4199.0|2005.0|487.0|509.0|849.0|2142.0|2078.0|2904.0|768.0|927.0|853.0|6232.0|
|Kadın ve 35-39 ve Doktora|2019|1401.0|3215.0|883.0|699.0|601.0|1485.0|2130.0|679.0|499.0|822.0|490.0|4229.0|
|Kadın ve 35-39 ve Lise Ve Dengi Meslek Okulu|2019|100070.0|83054.0|37028.0|36590.0|26173.0|87989.0|103269.0|48643.0|12053.0|34519.0|28060.0|161763.0|
|Kadın ve 35-39 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|9962.0|2362.0|1534.0|1551.0|825.0|3236.0|5810.0|29484.0|4793.0|1315.0|11261.0|11673.0|
|Kadın ve 35-39 ve Okuma Yazma Bilmeyen|2019|5158.0|1670.0|1179.0|973.0|668.0|2352.0|2507.0|23641.0|4262.0|916.0|7257.0|7022.0|
|Kadın ve 35-39 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|51665.0|37343.0|23500.0|18709.0|12754.0|45729.0|52790.0|37359.0|8146.0|21184.0|19103.0|75868.0|
|Kadın ve 35-39 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|10398.0|17617.0|3942.0|3769.0|2193.0|9893.0|13702.0|4126.0|1334.0|3731.0|2594.0|33496.0|
|Kadın ve 35-39 ve Yüksekokul Veya Fakülte|2019|81718.0|80880.0|30508.0|28889.0|18840.0|70886.0|93255.0|32235.0|8572.0|26304.0|17527.0|163703.0|
|Kadın ve 35-39 ve İlkokul|2019|100479.0|68306.0|41770.0|26527.0|17663.0|66751.0|94734.0|85581.0|22996.0|37268.0|34273.0|147811.0|
|Kadın ve 35-39 ve İlköğretim|2019|41736.0|27264.0|22436.0|16863.0|9681.0|39199.0|46869.0|30511.0|6690.0|16887.0|13421.0|62038.0|
|Kadın ve 40-44 ve Bilinmeyen|2019|3440.0|1811.0|619.0|535.0|1000.0|1932.0|1866.0|2479.0|626.0|933.0|704.0|5544.0|
|Kadın ve 40-44 ve Doktora|2019|1716.0|3446.0|805.0|717.0|495.0|1612.0|2575.0|643.0|335.0|765.0|434.0|4543.0|
|Kadın ve 40-44 ve Lise Ve Dengi Meslek Okulu|2019|89224.0|74905.0|32809.0|32723.0|22423.0|76625.0|93815.0|36768.0|9732.0|28682.0|21807.0|146676.0|
|Kadın ve 40-44 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|9285.0|2159.0|1655.0|1384.0|924.0|2830.0|5442.0|25246.0|3836.0|1362.0|9290.0|9207.0|
|Kadın ve 40-44 ve Okuma Yazma Bilmeyen|2019|4886.0|1533.0|1175.0|926.0|799.0|2201.0|2366.0|21890.0|3771.0|1129.0|6311.0|5915.0|
|Kadın ve 40-44 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|48217.0|34699.0|22179.0|18003.0|12805.0|42960.0|49477.0|31211.0|6982.0|19612.0|16278.0|71156.0|
|Kadın ve 40-44 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|6581.0|11843.0|2333.0|2343.0|1261.0|6067.0|8731.0|1811.0|585.0|1981.0|1227.0|21543.0|
|Kadın ve 40-44 ve Yüksekokul Veya Fakülte|2019|60602.0|63384.0|21810.0|20943.0|12762.0|48198.0|72368.0|18034.0|4806.0|17648.0|10500.0|120514.0|
|Kadın ve 40-44 ve İlkokul|2019|110428.0|75514.0|48282.0|32420.0|21205.0|75816.0|110155.0|77871.0|20814.0|42523.0|31267.0|157484.0|
|Kadın ve 40-44 ve İlköğretim|2019|43606.0|29243.0|24326.0|18720.0|10959.0|42288.0|51046.0|25000.0|5773.0|17537.0|11396.0|62670.0|
|Kadın ve 45-49 ve Bilinmeyen|2019|3781.0|2037.0|969.0|690.0|1142.0|2378.0|2458.0|2315.0|793.0|1211.0|912.0|6018.0|
|Kadın ve 45-49 ve Doktora|2019|1489.0|2711.0|525.0|601.0|354.0|1393.0|2092.0|427.0|217.0|507.0|310.0|3789.0|
|Kadın ve 45-49 ve Lise Ve Dengi Meslek Okulu|2019|68168.0|57752.0|24870.0|25228.0|18690.0|58096.0|73477.0|27755.0|8107.0|21107.0|17147.0|115645.0|
|Kadın ve 45-49 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|12627.0|3413.0|3177.0|1957.0|1985.0|4085.0|7650.0|26477.0|4729.0|2465.0|11479.0|11697.0|
|Kadın ve 45-49 ve Okuma Yazma Bilmeyen|2019|6624.0|2276.0|1805.0|1215.0|1254.0|3101.0|3133.0|24415.0|4967.0|1674.0|7969.0|8040.0|
|Kadın ve 45-49 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|49195.0|35915.0|21667.0|18222.0|14279.0|41508.0|48823.0|25972.0|6943.0|19857.0|15640.0|70952.0|
|Kadın ve 45-49 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|3897.0|7299.0|1237.0|1276.0|752.0|3357.0|5411.0|863.0|262.0|935.0|566.0|13605.0|
|Kadın ve 45-49 ve Yüksekokul Veya Fakülte|2019|38212.0|46187.0|13454.0|13254.0|7761.0|28985.0|49235.0|9022.0|2530.0|10245.0|5633.0|79531.0|
|Kadın ve 45-49 ve İlkokul|2019|128159.0|89849.0|62068.0|42034.0|30347.0|91321.0|131544.0|69112.0|23350.0|51697.0|34246.0|167966.0|
|Kadın ve 45-49 ve İlköğretim|2019|46443.0|31794.0|26297.0|20208.0|13058.0|45646.0|52508.0|21881.0|6377.0|19225.0|11718.0|68197.0|
|Kadın ve 50-54 ve Bilinmeyen|2019|3580.0|2365.0|1158.0|822.0|1197.0|2663.0|2728.0|2008.0|685.0|1371.0|779.0|5696.0|
|Kadın ve 50-54 ve Doktora|2019|1018.0|2166.0|313.0|386.0|195.0|946.0|1541.0|267.0|128.0|306.0|210.0|3061.0|
|Kadın ve 50-54 ve Lise Ve Dengi Meslek Okulu|2019|51057.0|40842.0|17983.0|20386.0|14052.0|40754.0|56794.0|16761.0|4936.0|14525.0|10694.0|82152.0|
|Kadın ve 50-54 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|15891.0|5069.0|6183.0|2598.0|3880.0|5892.0|10348.0|24452.0|4121.0|4171.0|10401.0|13367.0|
|Kadın ve 50-54 ve Okuma Yazma Bilmeyen|2019|8903.0|3556.0|3199.0|1629.0|2122.0|4300.0|4501.0|26862.0|4885.0|2818.0|8706.0|11022.0|
|Kadın ve 50-54 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|35475.0|27982.0|16316.0|14531.0|11209.0|30097.0|37470.0|16015.0|4620.0|14645.0|10090.0|50148.0|
|Kadın ve 50-54 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|2269.0|4745.0|649.0|853.0|386.0|1935.0|3727.0|369.0|124.0|491.0|257.0|8554.0|
|Kadın ve 50-54 ve Yüksekokul Veya Fakülte|2019|24557.0|34584.0|8373.0|9388.0|4692.0|17868.0|36747.0|4022.0|1260.0|5228.0|2849.0|51243.0|
|Kadın ve 50-54 ve İlkokul|2019|123607.0|96874.0|71703.0|52132.0|35298.0|100029.0|147751.0|49725.0|18337.0|55419.0|25716.0|150559.0|
|Kadın ve 50-54 ve İlköğretim|2019|31409.0|22429.0|18489.0|15193.0|9946.0|32824.0|36869.0|12615.0|4180.0|13447.0|7161.0|46567.0|
|Kadın ve 55-59 ve Bilinmeyen|2019|3897.0|2581.0|1214.0|1010.0|1138.0|2747.0|3061.0|1859.0|821.0|1653.0|834.0|5432.0|
|Kadın ve 55-59 ve Doktora|2019|511.0|1467.0|172.0|184.0|104.0|503.0|990.0|133.0|65.0|152.0|99.0|2082.0|
|Kadın ve 55-59 ve Lise Ve Dengi Meslek Okulu|2019|43173.0|34988.0|15609.0|18416.0|11613.0|32836.0|51013.0|11995.0|4070.0|11861.0|8988.0|67109.0|
|Kadın ve 55-59 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|23985.0|9089.0|13331.0|4327.0|9072.0|10351.0|17817.0|24097.0|5872.0|7635.0|12832.0|19450.0|
|Kadın ve 55-59 ve Okuma Yazma Bilmeyen|2019|14690.0|6856.0|7331.0|2542.0|5432.0|8431.0|7834.0|32220.0|8105.0|5513.0|12802.0|18704.0|
|Kadın ve 55-59 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|24498.0|19936.0|11723.0|9929.0|7885.0|21248.0|26074.0|11020.0|3441.0|9798.0|7598.0|35207.0|
|Kadın ve 55-59 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|1183.0|2484.0|328.0|491.0|199.0|906.0|2129.0|157.0|52.0|184.0|100.0|4432.0|
|Kadın ve 55-59 ve Yüksekokul Veya Fakülte|2019|15673.0|24674.0|5340.0|7041.0|3028.0|11172.0|26535.0|2135.0|741.0|2822.0|1621.0|32770.0|
|Kadın ve 55-59 ve İlkokul|2019|136086.0|111428.0|90475.0|67000.0|43735.0|119097.0|177569.0|45609.0|20460.0|64351.0|27499.0|157141.0|
|Kadın ve 55-59 ve İlköğretim|2019|18827.0|13150.0|11368.0|9333.0|6786.0|19716.0|21611.0|7725.0|3141.0|7885.0|4830.0|28391.0|
|Kadın ve 6-13 ve Bilinmeyen|2019|5283.0|3631.0|1567.0|1343.0|1488.0|3601.0|4298.0|3711.0|651.0|2176.0|1202.0|5857.0|
|Kadın ve 6-13 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|340544.0|226135.0|111556.0|83394.0|64441.0|220802.0|267115.0|408777.0|80119.0|117004.0|149771.0|429699.0|
|Kadın ve 6-13 ve Okuma Yazma Bilmeyen|2019|12.0|18.0|3.0|9.0|3.0|17.0|25.0|12.0|3.0|3.0|7.0|46.0|
|Kadın ve 6-13 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|360.0|144.0|92.0|34.0|56.0|206.0|156.0|993.0|191.0|66.0|463.0|527.0|
|Kadın ve 6-13 ve İlkokul|2019|326657.0|221069.0|114288.0|80045.0|64369.0|214048.0|259495.0|366264.0|73454.0|118103.0|139825.0|406529.0|
|Kadın ve 60-64 ve Bilinmeyen|2019|3276.0|2543.0|1166.0|973.0|976.0|2524.0|2887.0|1773.0|781.0|1798.0|771.0|4904.0|
|Kadın ve 60-64 ve Doktora|2019|253.0|875.0|89.0|110.0|42.0|251.0|577.0|62.0|34.0|62.0|45.0|1333.0|
|Kadın ve 60-64 ve Lise Ve Dengi Meslek Okulu|2019|23993.0|20390.0|8792.0|11051.0|5897.0|19048.0|32002.0|5615.0|1871.0|5481.0|4479.0|42059.0|
|Kadın ve 60-64 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|30299.0|13330.0|22380.0|6517.0|14952.0|14606.0|25541.0|18826.0|5805.0|11270.0|12008.0|22402.0|
|Kadın ve 60-64 ve Okuma Yazma Bilmeyen|2019|20653.0|10834.0|13220.0|3713.0|9500.0|12818.0|11530.0|34785.0|9782.0|9189.0|15372.0|24232.0|
|Kadın ve 60-64 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|14717.0|11320.0|6470.0|6814.0|4451.0|14166.0|17501.0|5448.0|1780.0|5193.0|4083.0|23217.0|
|Kadın ve 60-64 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|704.0|1627.0|209.0|346.0|124.0|475.0|1414.0|92.0|28.0|111.0|56.0|2801.0|
|Kadın ve 60-64 ve Yüksekokul Veya Fakülte|2019|13793.0|18818.0|4669.0|6686.0|2631.0|9311.0|23444.0|1526.0|569.0|2654.0|1280.0|24815.0|
|Kadın ve 60-64 ve İlkokul|2019|110311.0|93856.0|75835.0|67382.0|38162.0|106674.0|161448.0|29038.0|15407.0|55415.0|20321.0|127785.0|
|Kadın ve 60-64 ve İlköğretim|2019|7095.0|4949.0|4236.0|4181.0|2870.0|8110.0|8857.0|3198.0|1399.0|2940.0|2146.0|11629.0|
|Kadın ve 65+ ve Bilinmeyen|2019|8280.0|7222.0|3614.0|3179.0|2815.0|6628.0|7434.0|5813.0|3136.0|6418.0|2846.0|13503.0|
|Kadın ve 65+ ve Doktora|2019|265.0|1397.0|76.0|111.0|53.0|237.0|799.0|57.0|32.0|72.0|34.0|2111.0|
|Kadın ve 65+ ve Lise Ve Dengi Meslek Okulu|2019|24303.0|27471.0|7698.0|11141.0|4215.0|18611.0|40687.0|4758.0|1473.0|4091.0|3194.0|66472.0|
|Kadın ve 65+ ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|125025.0|71540.0|107497.0|45058.0|67547.0|65094.0|151447.0|40358.0|17313.0|51209.0|33426.0|74911.0|
|Kadın ve 65+ ve Okuma Yazma Bilmeyen|2019|121159.0|84007.0|93895.0|31058.0|69045.0|91351.0|93187.0|159177.0|48151.0|79205.0|74516.0|125888.0|
|Kadın ve 65+ ve Ortaokul Veya Dengi Meslek Ortaokul|2019|17134.0|16952.0|7017.0|10796.0|4055.0|20476.0|27392.0|5868.0|1813.0|4716.0|3824.0|43055.0|
|Kadın ve 65+ ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|796.0|2199.0|265.0|360.0|114.0|520.0|1577.0|95.0|42.0|95.0|41.0|3768.0|
|Kadın ve 65+ ve Yüksekokul Veya Fakülte|2019|15825.0|23892.0|4943.0|7476.0|2667.0|10694.0|28936.0|1857.0|519.0|2910.0|1194.0|38288.0|
|Kadın ve 65+ ve İlkokul|2019|181626.0|168222.0|128778.0|144980.0|58333.0|202431.0|328772.0|36092.0|25662.0|90851.0|28787.0|236272.0|
|Kadın ve 65+ ve İlköğretim|2019|3443.0|2535.0|1974.0|1832.0|1219.0|3515.0|4154.0|1823.0|758.0|1334.0|1188.0|5451.0|
|||||||||||||||
