|||Sütunlar|||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|Türkiye-TR|İstanbul-TR1|
||||||||||||||||
||||||||||||||||
|Erkek ve 6-13 ve Okuma Yazma Bilmeyen|2019|29.0|19.0|6.0|3.0|1.0|11.0|20.0|14.0|4.0|9.0|8.0|168.0|44.0|
|Erkek ve 60-64 ve Bilinmeyen|2019|3593.0|2566.0|1110.0|1072.0|997.0|2561.0|3270.0|1133.0|442.0|1700.0|522.0|24009.0|5043.0|
|Erkek ve 60-64 ve Okuma Yazma Bilen|2019|217410.0|167244.0|130549.0|102319.0|77841.0|179670.0|272144.0|91970.0|35662.0|90058.0|57385.0|1689058.0|266806.0|
|Erkek ve 60-64 ve Okuma Yazma Bilmeyen|2019|2650.0|1079.0|1501.0|833.0|930.0|1471.0|1738.0|4297.0|1288.0|778.0|2334.0|21778.0|2879.0|
|Erkek ve 65+ ve Bilinmeyen|2019|7130.0|5855.0|2903.0|2968.0|2151.0|5428.0|7612.0|2579.0|1515.0|4939.0|1370.0|54784.0|10334.0|
|Erkek ve 65+ ve Okuma Yazma Bilen|2019|387537.0|299477.0|268242.0|202836.0|147530.0|320000.0|527667.0|152952.0|69019.0|176801.0|97368.0|3076857.0|427428.0|
|Erkek ve 65+ ve Okuma Yazma Bilmeyen|2019|21044.0|9285.0|16321.0|5658.0|10109.0|12524.0|12713.0|36448.0|8961.0|9165.0|17311.0|175894.0|16355.0|
|Kadın ve 14-17 ve Bilinmeyen|2019|739.0|388.0|153.0|63.0|384.0|472.0|342.0|880.0|93.0|391.0|192.0|5480.0|1383.0|
|Kadın ve 14-17 ve Okuma Yazma Bilen|2019|316350.0|216286.0|118566.0|79526.0|67248.0|207948.0|252953.0|353392.0|78226.0|117953.0|144893.0|2350091.0|396750.0|
|Kadın ve 14-17 ve Okuma Yazma Bilmeyen|2019|13.0|3.0|2.0|1.0||4.0|3.0|17.0||1.0|9.0|63.0|10.0|
|Kadın ve 18-21 ve Bilinmeyen|2019|1420.0|710.0|253.0|172.0|603.0|1076.0|787.0|1695.0|233.0|697.0|534.0|9980.0|1800.0|
|Kadın ve 18-21 ve Okuma Yazma Bilen|2019|306072.0|251834.0|144461.0|97962.0|83158.0|227270.0|290965.0|329607.0|93160.0|142450.0|147904.0|2549404.0|434561.0|
|Kadın ve 18-21 ve Okuma Yazma Bilmeyen|2019|166.0|50.0|30.0|54.0|12.0|114.0|87.0|808.0|98.0|90.0|735.0|2486.0|242.0|
|Kadın ve 22-24 ve Bilinmeyen|2019|1516.0|677.0|195.0|185.0|373.0|1240.0|612.0|1222.0|234.0|458.0|384.0|8776.0|1680.0|
|Kadın ve 22-24 ve Okuma Yazma Bilen|2019|223206.0|182658.0|96819.0|69625.0|60045.0|174827.0|217273.0|224932.0|57869.0|93981.0|100269.0|1847041.0|345537.0|
|Kadın ve 22-24 ve Okuma Yazma Bilmeyen|2019|529.0|157.0|59.0|132.0|26.0|276.0|216.0|2992.0|291.0|99.0|1396.0|6859.0|686.0|
|Kadın ve 25-29 ve Bilinmeyen|2019|3875.0|1946.0|412.0|506.0|698.0|2774.0|1469.0|2979.0|926.0|946.0|865.0|22439.0|5043.0|
|Kadın ve 25-29 ve Okuma Yazma Bilen|2019|355660.0|294310.0|142472.0|113395.0|87010.0|290569.0|356273.0|357633.0|81751.0|134974.0|157192.0|2972884.0|601645.0|
|Kadın ve 25-29 ve Okuma Yazma Bilmeyen|2019|3538.0|1193.0|596.0|714.0|340.0|1768.0|1790.0|15564.0|2725.0|609.0|5532.0|39310.0|4941.0|
|Kadın ve 30-34 ve Bilinmeyen|2019|4470.0|2259.0|463.0|606.0|772.0|2723.0|1932.0|3071.0|855.0|1011.0|842.0|25448.0|6444.0|
|Kadın ve 30-34 ve Okuma Yazma Bilen|2019|370289.0|306209.0|146720.0|120492.0|84367.0|302383.0|375774.0|300181.0|67641.0|137482.0|132885.0|2973203.0|628780.0|
|Kadın ve 30-34 ve Okuma Yazma Bilmeyen|2019|4991.0|1661.0|946.0|904.0|516.0|2331.0|2401.0|21070.0|3643.0|885.0|6888.0|53303.0|7067.0|
|Kadın ve 35-39 ve Bilinmeyen|2019|4199.0|2005.0|487.0|509.0|849.0|2142.0|2078.0|2904.0|768.0|927.0|853.0|23953.0|6232.0|
|Kadın ve 35-39 ve Okuma Yazma Bilen|2019|397429.0|320041.0|161601.0|133597.0|88730.0|325168.0|412559.0|268618.0|65083.0|142030.0|126729.0|3102166.0|660581.0|
|Kadın ve 35-39 ve Okuma Yazma Bilmeyen|2019|5158.0|1670.0|1179.0|973.0|668.0|2352.0|2507.0|23641.0|4262.0|916.0|7257.0|57605.0|7022.0|
|Kadın ve 40-44 ve Bilinmeyen|2019|3440.0|1811.0|619.0|535.0|1000.0|1932.0|1866.0|2479.0|626.0|933.0|704.0|21489.0|5544.0|
|Kadın ve 40-44 ve Okuma Yazma Bilen|2019|369659.0|295193.0|154199.0|127253.0|82834.0|296396.0|393609.0|216584.0|52863.0|130110.0|102199.0|2814692.0|593793.0|
|Kadın ve 40-44 ve Okuma Yazma Bilmeyen|2019|4886.0|1533.0|1175.0|926.0|799.0|2201.0|2366.0|21890.0|3771.0|1129.0|6311.0|52902.0|5915.0|
|Kadın ve 45-49 ve Bilinmeyen|2019|3781.0|2037.0|969.0|690.0|1142.0|2378.0|2458.0|2315.0|793.0|1211.0|912.0|24704.0|6018.0|
|Kadın ve 45-49 ve Okuma Yazma Bilen|2019|348190.0|274920.0|153295.0|122780.0|87226.0|274391.0|370740.0|181509.0|52515.0|126038.0|96739.0|2619725.0|531382.0|
|Kadın ve 45-49 ve Okuma Yazma Bilmeyen|2019|6624.0|2276.0|1805.0|1215.0|1254.0|3101.0|3133.0|24415.0|4967.0|1674.0|7969.0|66473.0|8040.0|
|Kadın ve 50-54 ve Bilinmeyen|2019|3580.0|2365.0|1158.0|822.0|1197.0|2663.0|2728.0|2008.0|685.0|1371.0|779.0|25052.0|5696.0|
|Kadın ve 50-54 ve Okuma Yazma Bilen|2019|285283.0|234691.0|140009.0|115467.0|79658.0|230345.0|331247.0|124226.0|37706.0|108232.0|67378.0|2159893.0|405651.0|
|Kadın ve 50-54 ve Okuma Yazma Bilmeyen|2019|8903.0|3556.0|3199.0|1629.0|2122.0|4300.0|4501.0|26862.0|4885.0|2818.0|8706.0|82503.0|11022.0|
|Kadın ve 55-59 ve Bilinmeyen|2019|3897.0|2581.0|1214.0|1010.0|1138.0|2747.0|3061.0|1859.0|821.0|1653.0|834.0|26247.0|5432.0|
|Kadın ve 55-59 ve Okuma Yazma Bilen|2019|263936.0|217216.0|148346.0|116721.0|82422.0|215829.0|323738.0|102871.0|37842.0|104688.0|63567.0|2023758.0|346582.0|
|Kadın ve 55-59 ve Okuma Yazma Bilmeyen|2019|14690.0|6856.0|7331.0|2542.0|5432.0|8431.0|7834.0|32220.0|8105.0|5513.0|12802.0|130460.0|18704.0|
|Kadın ve 6-13 ve Bilinmeyen|2019|5283.0|3631.0|1567.0|1343.0|1488.0|3601.0|4298.0|3711.0|651.0|2176.0|1202.0|34808.0|5857.0|
|Kadın ve 6-13 ve Okuma Yazma Bilen|2019|667561.0|447348.0|225936.0|163473.0|128866.0|435056.0|526766.0|776034.0|153764.0|235173.0|290059.0|4886791.0|836755.0|
|Kadın ve 6-13 ve Okuma Yazma Bilmeyen|2019|12.0|18.0|3.0|9.0|3.0|17.0|25.0|12.0|3.0|3.0|7.0|158.0|46.0|
|Kadın ve 60-64 ve Bilinmeyen|2019|3276.0|2543.0|1166.0|973.0|976.0|2524.0|2887.0|1773.0|781.0|1798.0|771.0|24372.0|4904.0|
|Kadın ve 60-64 ve Okuma Yazma Bilen|2019|201165.0|165165.0|122680.0|103087.0|69129.0|172641.0|270784.0|63805.0|26893.0|83126.0|44418.0|1578934.0|256041.0|
|Kadın ve 60-64 ve Okuma Yazma Bilmeyen|2019|20653.0|10834.0|13220.0|3713.0|9500.0|12818.0|11530.0|34785.0|9782.0|9189.0|15372.0|175628.0|24232.0|
|Kadın ve 65+ ve Bilinmeyen|2019|8280.0|7222.0|3614.0|3179.0|2815.0|6628.0|7434.0|5813.0|3136.0|6418.0|2846.0|70888.0|13503.0|
|Kadın ve 65+ ve Okuma Yazma Bilen|2019|368417.0|314208.0|258248.0|221754.0|138203.0|321578.0|583764.0|90908.0|47612.0|155278.0|71688.0|3041986.0|470328.0|
|Kadın ve 65+ ve Okuma Yazma Bilmeyen|2019|121159.0|84007.0|93895.0|31058.0|69045.0|91351.0|93187.0|159177.0|48151.0|79205.0|74516.0|1070639.0|125888.0|
||||||||||||||||
