,Date,Daily Test,Total Test,Daily Cases,Total Case,Total Active Case,Daily Deaths,Total Death,% Deaths/Cases Ratio,Daily Recovering,Total Recovering,Total Intensive Care,Total Intubated,% Test/Case Ratio,Daily Case Ranking
55,21 May,33633,1729988,961,153548,34309,27,4249,2.8095733610822062,1003,114990,820,424,2.8573127583028572,100
56,22 May,37507,1767495,952,154500,34113,27,4276,2.8361344537815127,1121,116111,800,401,2.5381928706641426,101
57,23 May,40178,1807673,1186,155686,33776,32,4308,2.6981450252951094,1491,117602,775,388,2.9518642042909056,72
58,24 May,24589,1832262,1141,156827,33793,32,4340,2.8045574057844,1092,118694,769,385,4.6402863068851925,79
59,25 May,21492,1853754,987,157814,33430,29,4369,2.9381965552178317,1321,120015,756,371,4.592406476828588,96
60,26 May,19853,1873607,948,158762,32858,28,4397,2.9535864978902953,1492,121507,739,338,4.775096962675667,102
61,27 May,21043,1894650,1035,159797,32573,34,4431,3.2850241545893724,1286,122793,723,331,4.918500213847835,85
62,28 May,33559,1928209,1182,160979,32149,30,4461,2.5380710659898478,1576,124369,683,339,3.5221550105783845,74
63,29 May,36155,1964364,1141,162120,31668,28,4489,2.4539877300613497,1594,125963,662,324,3.155856727976767,79
64,30 May,39230,2003594,983,163103,31604,26,4515,2.644964394710071,1021,126984,649,308,2.5057354065765995,98
65,31 May,35600,2039194,839,163942,31429,25,4540,2.9797377830750893,989,127973,648,287,2.356741573033708,110
66,1 June,31525,2070719,827,164769,31259,23,4563,2.781136638452237,974,128947,651,283,2.6233148295003965,111
67,2 June,32325,2103044,786,165555,31049,22,4585,2.7989821882951653,974,129921,633,271,2.431554524361949,112
68,3 June,52305,2155349,867,166422,30961,24,4609,2.768166089965398,931,130852,612,261,1.6575853168913106,109
69,4 June,54234,2209583,988,167410,31002,21,4630,2.1255060728744937,926,131778,602,265,1.8217354427112142,95
70,5 June,57829,2267412,930,168340,30292,18,4648,1.935483870967742,1622,133400,592,269,1.6081896626260181,105
71,6 June,35846,2303258,878,169218,29227,21,4669,2.3917995444191344,1922,135322,591,264,2.4493667354795514,108
72,7 June,35335,2338593,914,170132,27471,23,4692,2.516411378555799,2647,137969,613,274,2.5866704400735814,107
73,8 June,39361,2377954,989,171121,25030,19,4711,1.9211324570273005,3411,141380,625,261,2.5126394146490183,94
74,9 June,37225,2415179,993,172114,22787,18,4729,1.812688821752266,3218,144598,642,281,2.6675621222296844,92
75,10 June,36521,2451700,922,173036,21451,17,4746,1.843817787418655,2241,146839,631,280,2.524574902111114,106
76,11 June,49190,2500890,987,174023,21400,17,4763,1.7223910840932117,1021,147860,643,266,2.006505387273836,96
77,12 June,41013,2541903,1195,175218,21338,15,4778,1.2552301255230125,1242,149102,664,282,2.9137102869821763,69
78,13 June,45092,2586995,1459,176677,21798,14,4792,0.9595613433858807,985,150087,684,284,3.235607203051539,55
79,14 June,45176,2632171,1562,178239,22015,15,4807,0.9603072983354672,1330,151417,717,290,3.45758809987604,50
80,15 June,42032,2674203,1592,179831,22642,18,4825,1.1306532663316584,947,152364,722,291,3.787590407308717,49
81,16 June,46800,2721003,1467,181298,23077,17,4842,1.1588275391956373,1015,153379,732,303,3.134615384615384,54
82,17 June,52901,2773904,1429,182727,23226,19,4861,1.3296011196641007,1261,154640,745,306,2.7012721876713104,57
